# Confirmed double-mode RR Lyrae stars from the Catalina Surveys Periodic Variable Star Catalog
#
# Pulsation parameters
#
# CSS_name             FM_period    FM_uncert    FM_amp O1_period    O1_uncert    O1_amp Period_ratio
# -                    day          day          mag    day          day          mag    -

CSS_J001420.8+031214   0.51930994   0.00000166   0.23   0.38711458   0.00000056   0.39   0.74544034
CSS_J001724.9+200542   0.48002554   0.00000174   0.29   0.35712249   0.00000074   0.41   0.74396560
CSS_J001812.9+210201   0.55837503   0.00000198   0.19   0.41615750   0.00000064   0.34   0.74530106
CSS_J001836.2-191522   0.46299846   0.00000198   0.28   0.34403253   0.00000067   0.40   0.74305329
CSS_J003359.4+022609   0.48368923   0.00000208   0.21   0.36009918   0.00000087   0.29   0.74448459
CSS_J004804.2+365310   0.46874750   0.00000070   0.38   0.34831989   0.00000079   0.37   0.74308640
CSS_J011032.5+215708   0.47302180   0.00000138   0.33   0.35178257   0.00000051   0.40   0.74369209
CSS_J011824.3-123318   0.52620846   0.00000320   0.27   0.39247062   0.00000147   0.38   0.74584628
CSS_J014305.3+010549   0.47555267   0.00000161   0.32   0.35372017   0.00000058   0.40   0.74380861
CSS_J014447.9+014818   0.56494467   0.00000236   0.17   0.42129735   0.00000058   0.37   0.74573206
CSS_J015703.4+161236   0.48389762   0.00000182   0.17   0.36011597   0.00000046   0.37   0.74419868
CSS_J020850.5+034226   0.46675577   0.00000199   0.30   0.34692714   0.00000085   0.39   0.74327338
CSS_J022130.8+371435   0.57190295   0.00000179   0.23   0.42613200   0.00000066   0.34   0.74511244
CSS_J033157.8+215515   0.48181305   0.00000102   0.24   0.35859751   0.00000037   0.37   0.74426691
CSS_J040146.9-045132   0.53694666   0.00000282   0.13   0.40095028   0.00000047   0.37   0.74672274
CSS_J043327.6+010733   0.54134361   0.00000263   0.24   0.40381931   0.00000074   0.36   0.74595747
CSS_J043347.8-171839   0.46437751   0.00000077   0.42   0.34490900   0.00000102   0.36   0.74273407
CSS_J045042.3-054728   0.51150389   0.00000242   0.19   0.38085851   0.00000063   0.39   0.74458575
CSS_J045113.4-142213   0.55838082   0.00000326   0.14   0.41671806   0.00000103   0.34   0.74629723
CSS_J045527.2-122157   0.47529844   0.00000131   0.45   0.35335419   0.00000104   0.32   0.74343646
CSS_J063948.7+495352   0.55491591   0.00000451   0.24   0.41395787   0.00000142   0.34   0.74598306
CSS_J075724.6+431227   0.46438703   0.00000120   0.26   0.34490332   0.00000043   0.39   0.74270662
CSS_J080310.4+240732   0.49319356   0.00000198   0.25   0.36736215   0.00000070   0.42   0.74486404
CSS_J081001.3+274753   0.55797609   0.00000198   0.15   0.41662159   0.00000039   0.37   0.74666567
CSS_J082448.7+155028   0.46365209   0.00000135   0.37   0.34436331   0.00000097   0.35   0.74271920
CSS_J082622.9+282405   0.47390930   0.00000138   0.22   0.35260694   0.00000044   0.35   0.74403887
CSS_J082900.2+371013   0.48009663   0.00000118   0.25   0.35702309   0.00000039   0.38   0.74364840
CSS_J083611.1+253412   0.48084756   0.00000104   0.27   0.35770352   0.00000040   0.38   0.74390212
CSS_J085525.5-040730   0.53892929   0.00000348   0.14   0.40216003   0.00000044   0.39   0.74622040
CSS_J085527.3+412358   0.48614730   0.00000142   0.29   0.36181090   0.00000051   0.40   0.74424130
CSS_J092730.8+110736   0.55744248   0.00000287   0.19   0.41636015   0.00000056   0.37   0.74691141
CSS_J093023.2+335311   0.49233715   0.00000106   0.28   0.36626489   0.00000062   0.32   0.74393104
CSS_J093705.5-023416   0.54289707   0.00000385   0.13   0.40539622   0.00000070   0.38   0.74672759
