       #ID    TIME     MAG    MAGERR
       111  101.2871  13.130  0.001
       111  101.3076  13.127  0.001
       111  101.3280  13.166  0.001
       111  101.3484  13.202  0.001
       111  101.3689  13.162  0.001
       111  101.3893  13.149  0.001
       111  101.4097  13.143  0.001
       111  101.4302  13.125  0.001
       111  101.4506  13.116  0.001
       111  101.7571  13.071  0.001
       111  101.8184  13.045  0.001
       111  101.8388  13.036  0.001
       111  101.8593  13.050  0.001
       111  101.9001  13.093  0.001
       111  101.9206  13.099  0.001
       111  101.9410  13.115  0.001
       111  101.9614  13.114  0.001
       111  101.9819  13.105  0.001
       111  102.0023  13.120  0.001
       111  102.0227  13.087  0.001
       111  102.0432  13.091  0.001
       111  102.0636  13.101  0.001
       111  102.0840  13.095  0.001
       111  102.1249  13.089  0.001
       111  102.1453  13.080  0.001
       111  102.1658  13.104  0.001
       111  102.2066  13.150  0.001
       111  102.2271  13.153  0.001
       111  102.2475  13.182  0.001
       111  102.2884  13.179  0.001
       111  102.3088  13.182  0.001
       111  102.3292  13.156  0.001
       111  102.4314  13.126  0.001
       111  102.4518  13.135  0.001
       111  102.4723  13.126  0.001
       111  102.4927  13.130  0.001
       111  102.5540  13.152  0.001
       111  102.5744  13.155  0.001
       111  102.6357  13.157  0.001
       111  102.6562  13.140  0.001
       111  102.6766  13.132  0.001
       111  102.6970  13.106  0.001
       111  102.7175  13.096  0.001
       111  102.7379  13.106  0.001
       111  102.7583  13.105  0.001
       111  102.8809  13.157  0.001
       111  102.9014  13.151  0.001
       111  102.9218  13.145  0.001
       111  102.9422  13.139  0.001
       111  102.9627  13.140  0.001
       111  102.9831  13.144  0.001
       111  103.0035  13.152  0.001
       111  103.0240  13.130  0.001
       111  103.0444  13.152  0.001
       111  103.0648  13.176  0.001
       111  103.0853  13.139  0.001
       111  103.1057  13.144  0.001
       111  103.1261  13.165  0.001
       111  103.1466  13.175  0.001
       111  103.1670  13.191  0.001
       111  103.1874  13.184  0.001
       111  103.2283  13.162  0.001
       111  103.2487  13.165  0.001
       111  103.2692  13.146  0.001
       111  103.2896  13.135  0.001
       111  103.3100  13.116  0.001
       111  103.3305  13.114  0.001
       111  103.3509  13.101  0.001
       111  103.3713  13.088  0.001
       111  103.3918  13.073  0.001
       111  103.4122  13.096  0.001
       111  103.4326  13.119  0.001
       228  104.2704  17.513  0.016
       228  104.2909  17.489  0.013
       228  104.3113  17.439  0.012
       228  104.3317  17.577  0.012
       228  104.3522  17.598  0.014
       228  104.3726  17.539  0.012
       228  104.3930  17.410  0.016
       228  104.4135  17.325  0.017
       228  104.7200  17.422  0.027
       228  104.7404  17.476  0.028
       228  104.7608  17.557  0.029
       228  104.7813  17.597  0.028
       228  104.8221  17.510  0.021
       228  104.8426  17.485  0.021
       228  104.8630  17.501  0.010
       228  104.8834  17.581  0.011
       228  104.9447  17.454  0.011
       228  104.9652  17.429  0.010
       228  105.0060  17.550  0.013
       228  105.0265  17.661  0.012
       228  105.0469  17.544  0.011
       228  105.0673  17.483  0.013
       228  105.0878  17.469  0.010
       228  105.1082  17.436  0.011
       228  105.1286  17.541  0.009
       767   86.3093  16.340  0.005
       767   86.3502  16.292  0.004
       767   86.3706  16.342  0.004
       767   86.3910  16.300  0.003
       767   86.4115  16.345  0.003
       767   86.4319  16.312  0.003
       767   86.4523  16.292  0.003
       767   86.4728  16.279  0.003
       767   86.4932  16.262  0.003
       767   86.5136  16.245  0.004
       767   86.5341  16.228  0.004
       767   86.5545  16.218  0.003
       767   86.5749  16.215  0.003
       767   86.6158  16.197  0.003
       767   86.6362  16.235  0.003
       767   86.6567  16.226  0.003
       767   86.6771  16.204  0.003
       767   86.6975  16.176  0.003
       767   86.7180  16.225  0.004
       767   86.7384  16.218  0.004
       767   86.7588  16.209  0.005
       767   86.7793  16.281  0.003
       767   86.8406  16.219  0.003
       767   86.8610  16.190  0.003
       767   86.8814  16.175  0.002
       767   86.9019  16.178  0.002
       767   86.9223  16.149  0.002
       767   86.9427  16.156  0.002
       767   86.9632  16.140  0.003
       767   86.9836  16.171  0.003
       767   87.0653  16.203  0.005
       767   87.1879  16.227  0.004
       767   87.2084  16.180  0.003
       767   87.2288  16.168  0.003
       767   87.2492  16.150  0.003
       767   87.2697  16.157  0.002
       767   87.2901  16.154  0.003
       767   87.3105  16.152  0.003
       767   87.3310  16.155  0.003
       767   87.3923  16.158  0.004
       767   87.4127  16.151  0.004
       767   87.4331  16.162  0.004
       767   87.4536  16.172  0.004
       767   87.4944  16.197  0.003
       767   87.5149  16.188  0.003
       767   87.5353  16.161  0.003
       767   87.5557  16.165  0.003
       767   87.5762  16.154  0.003
       767   87.5966  16.151  0.003
       767   87.6170  16.157  0.003
       767   87.6375  16.161  0.003
       767   87.6783  16.207  0.003
       767   87.6988  16.195  0.003
       767   87.7192  16.163  0.003
       767   87.7396  16.164  0.003
       767   87.7601  16.177  0.003
       767   87.7805  16.182  0.003
       767   87.8009  16.181  0.004
       767   87.8827  16.202  0.002
       767   87.9031  16.162  0.002
       767   87.9235  16.151  0.002
       767   87.9440  16.164  0.003
       767   87.9644  16.156  0.003
       767   87.9848  16.156  0.003
       767   88.0053  16.177  0.004
       767   88.0257  16.173  0.006
       767   88.0870  16.119  0.005
       767   88.1074  16.188  0.003
       767   88.1279  16.145  0.004
       767   88.1483  16.165  0.003
       767   88.1687  16.173  0.003
       767   88.1892  16.165  0.004
       767   88.2300  16.165  0.003
       767   88.2505  16.151  0.003
       767   88.2709  16.146  0.003
       767   88.2913  16.126  0.003
       767   88.3526  16.185  0.003
       767   88.3731  16.159  0.003
       767   88.3935  16.156  0.004
       767   88.4139  16.164  0.003
       767   88.4344  16.162  0.005
       767   88.4548  16.141  0.005
       767   88.4753  16.162  0.004
       767   88.5161  16.198  0.005
       767   88.5366  16.215  0.005
       767   88.5570  16.259  0.006
       767   88.5774  16.159  0.005
       767   88.5979  16.167  0.004
       767   88.6183  16.146  0.003
       767   88.6387  16.138  0.003
       767   88.6592  16.148  0.003
       767   88.6796  16.142  0.003
       767   88.7000  16.154  0.004
       767   88.7205  16.158  0.004
       767   88.7409  16.168  0.004
       767   88.7613  16.167  0.004
       767   88.7818  16.151  0.004
       767   88.8022  16.205  0.004
       767   88.8226  16.177  0.003
       767   88.8431  16.204  0.003
       767   88.8635  16.169  0.002
       767   88.8839  16.204  0.003
       767   88.9044  16.181  0.002
       767   88.9248  16.198  0.003
       767   88.9452  16.180  0.003
       767   88.9657  16.204  0.003
       767   88.9861  16.167  0.003
       767   89.0065  16.217  0.003
       767   89.1087  16.235  0.003
       767   89.1291  16.181  0.003
       767   89.2109  16.300  0.003
       767   89.2313  16.297  0.003
      2462   78.8102  18.133  0.013
      2462   78.8306  18.157  0.012
      2462   78.8510  18.115  0.011
      2462   78.8715  18.205  0.010
      2462   78.8919  18.166  0.011
      2462   78.9123  18.208  0.011
      2462   78.9328  18.161  0.010
      2462   78.9532  18.107  0.009
      2462   78.9736  18.122  0.008
      2462   78.9941  18.051  0.016
      2462   79.0145  18.165  0.012
      2462   79.0554  18.131  0.017
      2462   79.0758  18.068  0.019
      2462   79.0962  18.087  0.024
      2462   79.1167  18.051  0.018
      2462   79.1780  18.791  0.033
      2462   79.3210  18.197  0.014
      2462   79.3414  18.132  0.016
      2462   79.3619  18.109  0.013
      2462   79.3823  18.007  0.012
      2462   79.4027  18.061  0.014
      2462   79.4232  18.052  0.011
      2462   79.4436  18.168  0.014
      2462   79.4640  18.189  0.017
      2462   79.4845  18.214  0.015
      2462   79.5253  18.177  0.012
      2462   79.5458  18.035  0.012
      2462   79.6071  18.164  0.021
      2462   79.6684  18.108  0.017
      2462   79.6888  18.161  0.013
      2462   79.7092  18.253  0.014
      2462   79.7501  18.162  0.014
      2462   79.7705  18.172  0.016
      2462   79.7910  18.047  0.012
      2462   79.8318  17.993  0.013
      2462   79.8523  18.146  0.013
      2462   79.8727  17.197  0.007
      2462   79.9953  18.453  0.085
      2462   80.0770  18.212  0.016
      2462   80.0975  18.061  0.017
      2462   80.1179  18.084  0.015
      2462   80.1383  18.008  0.012
      2462   80.1588  18.104  0.012
      2462   80.2201  18.143  0.011
      2462   80.2405  18.180  0.012
      2462   80.2609  18.144  0.010
      2462   80.2814  18.168  0.011
      2462   80.3018  18.076  0.012
      2462   80.3222  18.078  0.012
      2462   80.3427  18.078  0.013
      2462   80.4244  18.037  0.010
      2462   80.4448  18.050  0.013
      2462   80.4653  18.028  0.012
      2462   80.5266  18.094  0.013
      2462   80.5879  18.067  0.015
      2462   80.6083  18.051  0.011
      2462   80.6287  18.061  0.010
      2462   80.6492  18.042  0.011
      2462   80.6696  18.128  0.012
      2462   80.7105  18.103  0.012
      2552   69.1246  19.207  0.063
      2552   69.1655  19.378  0.063
      2552   69.1859  19.227  0.051
      2552   69.2268  19.144  0.041
