     ID      TIME       MAG   MAGERR
 2001QZ114  111.9575  19.935  0.069
 2001QZ114  111.9780  19.898  0.051
 2001QZ114  111.9984  19.983  0.071
 2001QZ114  112.0188  20.171  0.085
 2001QZ114  112.0393  20.189  0.079
 2001QZ114  112.0597  19.717  0.051
 2001QZ114  112.0801  19.991  0.073
 2001QZ114  112.1006  20.164  0.075
 2001QZ114  112.1210  19.977  0.063
 2001QZ114  112.1414  18.805  0.021
 2001QZ114  112.1619  20.017  0.066
 2001QZ114  112.1823  20.176  0.083
 2001QZ114  112.2027  19.817  0.058
 2001QZ114  112.2232  20.039  0.073
 2001QZ114  112.2436  20.338  0.092
 2001QZ114  112.2640  20.410  0.096
 2001QZ114  112.2845  19.947  0.052
 2001QZ114  112.3049  19.962  0.049
 2001QZ114  112.3253  20.027  0.058
 2001QZ114  112.3662  19.980  0.047
 2001QZ114  112.3866  19.902  0.051
 2001QZ114  112.4071  19.875  0.054
 2001QZ114  112.4275  19.782  0.041
  2001TY59  136.3757  21.793  0.475
  2001TY59  136.3961  20.718  0.217
  2001TY59  136.4165  21.644  0.540
  2001TY59  136.4370  19.302  0.243
  2001TY59  136.4574  19.666  0.520
  2001TY59  136.4778  19.245  0.367
  2001TY59  136.4983  18.736  0.213
  2001TY59  136.5187  18.835  0.067
  2001TY59  136.5391  19.870  0.157
  2001TY59  136.5800  21.698  0.542
  2001TY59  136.6209  21.136  0.317
  2001TY59  136.6617  22.216  0.684
  2001TY59  136.6822  21.362  0.271
  2001TY59  136.7026  22.262  0.687
  2001TY59  136.7639  22.847  0.768
  2001TY59  136.8048  22.142  0.587
  2001TY59  136.8865  21.800  0.410
  2001TY59  136.9478  21.284  0.227
  2001TY59  136.9887  21.712  0.380
  2001TY59  137.0909  21.345  0.245
  2001TY59  137.1113  22.626  0.814
  2001TY59  137.1317  21.139  0.189
  2001TY59  137.1522  22.419  0.678
  2001TY59  137.1726  21.341  0.281
  2002DR13  142.8123  21.349  0.204
  2002DR13  142.8736  21.734  0.385
  2002DR13  142.8940  20.291  0.094
  2002DR13  142.9349  22.877  1.000
  2002DR13  142.9962  21.502  0.261
  2002DR13  143.0166  20.986  0.160
  2002DR13  143.0370  21.384  0.268
  2002DR13  143.1188  22.653  0.797
  2002DR13  143.1392  22.789  0.792
  2002DR13  143.2414  22.139  0.656
  2002DR13  143.2618  22.118  0.477
  2002DR13  143.3640  21.839  0.486
  2002DR13  143.4866  21.199  0.428
 2003SJ239  124.6468  21.670  0.242
 2003SJ239  124.6877  22.603  0.543
 2003SJ239  124.7081  21.877  0.252
 2003SJ239  124.7285  22.290  0.390
 2003SJ239  124.7490  22.178  0.350
 2003SJ239  124.7694  23.240  0.922
 2003SJ239  124.7898  23.133  0.807
 2003SJ239  124.8103  22.522  0.454
 2003SJ239  124.8307  21.422  0.181
 2003SJ239  124.8920  21.573  0.210
 2003SJ239  124.9124  22.232  0.485
 2003SJ239  124.9329  22.056  0.434
 2003SJ239  124.9533  21.842  0.349
 2003SJ239  124.9737  22.333  0.490
 2003SJ239  124.9942  21.630  0.235
 2003SJ239  125.0146  22.078  0.363
 2003SJ239  125.0350  22.309  0.493
 2003SJ239  125.0963  21.870  0.278
 2003SJ239  125.1168  21.762  0.241
 2003SJ239  125.1372  22.018  0.287
 2003SJ239  125.1781  21.818  0.256
 2003SJ239  125.1985  22.111  0.335
 2003SJ239  125.2189  22.148  0.330
  2007FZ19  142.6488  22.225  0.488
  2007FZ19  142.7101  22.241  0.546
  2007FZ19  142.7714  21.649  0.331
 2007RG292   95.8150  21.786  0.131
 2007RG292   95.8354  22.427  0.245
 2007RG292   95.8558  21.948  0.141
 2007RG292   95.8763  21.962  0.168
 2007RG292   95.9376  22.066  0.163
 2007RG292   95.9580  22.062  0.162
 2007RG292   95.9784  21.816  0.143
 2007RG292   95.9989  21.902  0.158
 2007RG292   96.0193  22.026  0.164
 2007RG292   96.0397  21.963  0.160
 2007RG292   96.0602  21.887  0.169
 2007RG292   96.0806  21.637  0.121
 2007RG292   96.1010  21.683  0.112
 2007RG292   96.1215  22.190  0.201
 2007RG292   96.1623  21.942  0.154
 2007RG292   96.1828  22.066  0.170
 2007RG292   96.2032  21.992  0.170
 2007RG292   96.2236  22.047  0.156
 2007RG292   96.2441  22.456  0.195
 2007RG292   96.2645  22.165  0.153
 2007RG292   96.2849  21.852  0.154
 2007RG292   96.3054  21.749  0.112
 2007RG292   96.3258  21.975  0.161
 2007RG292   96.3462  22.057  0.181
 2007RG292   96.3667  21.611  0.120
 2007RG292   96.3871  22.018  0.166
 2007RG292   96.4075  21.758  0.142
 2007RG292   96.4280  21.969  0.163
 2007RG292   96.4484  21.826  0.137
 2007RG292   96.4688  22.115  0.149
 2007RG292   96.4893  21.840  0.138
 2007RG292   96.5097  21.663  0.121
 2007RG292   96.5301  22.218  0.215
 2007RG292   96.5506  21.941  0.158
 2007RG292   96.5710  22.340  0.216
 2007RG292   96.5914  22.055  0.146
 2007RG292   96.6119  22.201  0.212
 2007RG292   96.6323  21.995  0.179
 2007RG292   96.6936  22.071  0.193
 2007RG292   96.7141  21.525  0.091
 2007RG292   96.7345  22.000  0.169
 2007RG292   96.7549  21.961  0.164
 2007RG292   96.7753  21.954  0.144
 2007RG292   96.7958  22.211  0.247
 2007RG292   96.8162  21.791  0.144
 2007RG292   96.8367  22.411  0.279
 2007RG292   96.8571  22.014  0.173
 2007RG292   96.8775  22.452  0.258
 2007RG292   96.8980  22.091  0.189
 2007RG292   96.9184  22.215  0.203
 2007RG292   96.9388  21.893  0.147
 2007RG292   96.9593  21.918  0.153
 2007RG292   96.9797  21.488  0.108
 2007RG292   97.0001  22.160  0.200
 2007RG292   97.0206  22.324  0.230
 2007RG292   97.0410  22.275  0.204
